start_date,end_date,salary,duration,student_id,high_perc,high_spec,mba_spec,second_perc,gender,degree_perc,placed,experience_years,employability_perc,mba_perc,work_experience,degree_type
,,26766.0,6.0,109494675,92.92,Science,Mkt&Fin,78.34,F,85.23,True,1,60.12,71.07,False,Comm&Mgmt
2020-01-02,,27862.0,6.0,722054406,83.17,Commerce,Mkt&HR,54.04,M,78.15,False,1,79.22,70.79,False,Comm&Mgmt
2020-01-02,2020-06-17,28628.0,3.0,838863132,96.15,Commerce,Mkt&Fin,71.76,M,81.48,True,1,98.0,65.37,False,Comm&Mgmt
2020-01-14,2020-09-11,27203.0,,514116431,54.04,Commerce,Mkt&Fin,71.96,F,86.14,True,1,65.24,68.18,False,Sci&Tech
2020-01-06,2020-05-23,,6.0,270579413,67.77,Science,Mkt&HR,85.64,F,73.34,True,1,52.06,74.6,True,Comm&Mgmt
2020-03-28,2020-09-09,26518.0,3.0,697402954,70.89,Science,Mkt&HR,73.46,F,81.66,True,1,82.67,57.65,True,Sci&Tech
2020-01-30,2020-07-19,,3.0,517517715,64.43,Science,Mkt&Fin,69.34,F,75.36,True,1,82.3,53.56,False,Comm&Mgmt
,2020-04-14,22857.0,,163623547,84.32,Commerce,Mkt&Fin,81.64,M,73.91,True,1,91.42,69.24,True,Sci&Tech
2020-03-22,,,3.0,632541184,97.7,Science,Mkt&Fin,81.09,F,61.6,True,1,51.29,74.37,False,Comm&Mgmt
,,27772.0,,87896041,97.7,Commerce,Mkt&Fin,47.35,F,83.63,True,1,71.21,55.79,True,Sci&Tech
2020-01-02,2020-09-07,22984.0,3.0,412419585,92.19,Commerce,Mkt&Fin,81.5,F,71.84,True,1,65.15,70.74,True,Comm&Mgmt
2020-02-08,2020-07-23,20444.0,3.0,568560513,92.99,Science,Mkt&Fin,82.81,F,61.89,True,1,93.84,68.58,True,Comm&Mgmt
,2021-01-23,26870.0,,383299150,83.56,Science,Mkt&HR,75.52,M,73.08,True,1,75.16,59.12,True,Comm&Mgmt
,,30750.0,3.0,271622673,52.84,Commerce,Mkt&Fin,76.42,F,73.53,True,3,89.07,63.99,False,Comm&Mgmt
2020-01-04,2020-08-30,,12.0,996846873,56.31,Science,Mkt&HR,85.55,F,77.01,True,1,65.84,68.88,False,Sci&Tech
2020-04-03,2020-05-25,,6.0,456690201,68.39,Commerce,Mkt&Fin,73.37,M,80.65,True,1,81.92,74.15,True,Sci&Tech
2020-02-15,2020-08-18,,12.0,293731584,85.26,Science,Mkt&Fin,59.38,M,78.01,False,1,97.95,71.38,False,Sci&Tech
,2020-09-04,,3.0,7531215,68.2,Science,Mkt&Fin,42.95,M,70.11,False,1,62.5,77.35,False,Comm&Mgmt
2020-02-08,,,,280819526,67.96,Science,Mkt&HR,81.01,M,91.0,True,1,87.86,68.26,False,Comm&Mgmt
2020-05-09,2020-07-15,,,545919105,76.06,Commerce,Mkt&Fin,80.39,F,71.58,True,1,94.22,77.87,False,Comm&Mgmt
2020-01-05,2020-07-30,22229.0,3.0,819312139,62.76,Arts,Mkt&HR,79.68,M,70.84,True,1,94.21,69.98,False,Comm&Mgmt
2020-01-13,,27657.0,,266843442,71.63,Commerce,Mkt&Fin,62.12,F,62.17,True,1,61.59,73.81,True,Sci&Tech
2020-03-30,,,3.0,559782669,86.06,Science,Mkt&HR,83.21,M,78.62,True,3,82.49,68.97,False,Comm&Mgmt
,2020-07-27,20000.0,3.0,761878395,66.15,Commerce,Mkt&Fin,71.02,F,72.16,True,1,82.27,56.21,False,Comm&Mgmt
2020-02-21,,,3.0,878419710,79.75,Commerce,Mkt&Fin,74.47,F,76.02,True,1,67.54,71.8,True,Sci&Tech
,,37191.0,3.0,376618217,88.43,Science,Mkt&HR,69.58,M,86.42,True,1,97.99,55.75,False,Sci&Tech
,2020-08-23,,12.0,366669254,42.02,Commerce,Mkt&HR,81.19,F,76.92,True,1,58.27,74.77,False,Sci&Tech
2020-03-07,2020-11-06,27738.0,6.0,630514373,72.68,Science,Mkt&HR,80.77,M,71.49,True,1,68.32,76.11,False,Comm&Mgmt
2020-01-02,,,6.0,63201129,81.72,Science,Mkt&Fin,55.89,F,64.98,False,1,71.57,60.47,False,Comm&Mgmt
2020-03-13,2021-01-28,26471.0,3.0,404790469,44.98,Science,Mkt&HR,57.77,M,57.3,True,1,90.04,70.45,False,Comm&Mgmt
,2020-08-20,,,48496685,87.53,Commerce,Mkt&HR,76.0,F,81.01,False,1,50.68,66.54,True,Comm&Mgmt
2020-01-06,2020-08-25,28825.0,,152907772,40.74,Science,Mkt&HR,55.26,F,86.06,True,1,81.07,77.89,False,Comm&Mgmt
2020-01-03,,21811.0,,864373786,65.53,Commerce,Mkt&HR,69.15,F,63.54,False,1,87.75,63.1,False,Sci&Tech
2020-04-23,2020-06-11,,,199585894,58.55,Arts,Mkt&HR,82.8,M,68.14,False,1,62.17,77.89,False,Comm&Mgmt
2020-02-10,2020-04-10,26439.0,3.0,501194374,63.58,Science,Mkt&Fin,85.86,F,83.98,True,1,67.6,52.27,False,Comm&Mgmt
2020-01-02,2020-08-27,28892.0,3.0,497898112,97.7,Science,Mkt&HR,70.2,M,88.02,True,1,96.83,64.24,False,Comm&Mgmt
,2020-09-21,,3.0,744365981,81.41,Science,Mkt&Fin,62.92,M,91.0,False,1,69.35,74.53,False,Comm&Mgmt
2020-01-09,2020-08-09,26329.0,,223294591,96.83,Science,Mkt&Fin,84.59,M,77.92,False,1,51.42,70.96,False,Sci&Tech
2020-01-25,2020-08-30,,12.0,211725479,90.85,Commerce,Mkt&HR,77.2,M,75.39,False,1,78.31,57.81,True,Comm&Mgmt
2020-02-13,,,6.0,244244952,84.54,Science,Mkt&HR,73.65,F,68.87,True,1,93.57,75.96,False,Comm&Mgmt
,2020-04-13,62173.0,12.0,805427791,86.36,Science,Mkt&HR,57.48,M,74.18,False,1,97.33,77.69,False,Sci&Tech
,,26805.0,12.0,326652754,93.89,Commerce,Mkt&HR,62.52,M,80.78,False,3,94.92,75.17,True,Sci&Tech
,2020-09-14,25787.0,12.0,670774681,76.82,Commerce,Mkt&Fin,76.53,F,86.03,True,1,94.92,61.21,False,Sci&Tech
2020-07-12,2020-09-19,30245.0,12.0,198649342,83.9,Science,Mkt&Fin,79.8,F,88.24,True,1,75.67,57.59,False,Comm&Mgmt
,,28991.0,,272229258,83.28,Commerce,Mkt&Fin,57.82,M,53.85,True,1,97.29,71.98,True,Comm&Mgmt
2020-03-31,,26405.0,12.0,718232621,89.1,Science,Mkt&Fin,86.72,M,88.19,True,1,89.64,57.02,False,Sci&Tech
2020-02-19,2020-09-09,33507.0,,460003663,75.58,Commerce,Mkt&Fin,49.53,M,52.74,True,1,63.81,68.67,True,Comm&Mgmt
2020-07-24,,,,341738494,76.02,Commerce,Mkt&Fin,89.4,F,62.22,False,1,57.97,53.65,False,Comm&Mgmt
2020-03-21,2020-07-15,27553.0,6.0,909680395,68.44,Science,Mkt&HR,88.07,M,68.82,True,1,86.68,64.93,True,Sci&Tech
2020-02-20,,20000.0,,892177938,94.94,Science,Mkt&HR,79.37,M,73.98,False,1,57.14,66.48,False,Sci&Tech
,2020-08-26,26280.0,,537333465,77.94,Commerce,Mkt&Fin,74.39,F,88.94,False,1,85.38,71.74,False,Comm&Mgmt
2020-01-16,,20632.0,3.0,128011759,72.53,Science,Mkt&Fin,68.53,F,69.49,True,1,97.08,72.18,True,Comm&Mgmt
2020-01-04,2020-07-11,20601.0,12.0,917506460,55.09,Commerce,Mkt&HR,78.12,M,62.06,True,1,71.02,77.89,True,Sci&Tech
2020-02-21,,,3.0,411054743,97.7,Science,Mkt&HR,89.4,M,83.3,False,1,84.08,70.8,False,Comm&Mgmt
,2020-12-07,,12.0,65500214,97.7,Science,Mkt&HR,54.63,F,82.08,False,1,77.52,56.82,False,Comm&Mgmt
2020-03-24,2020-04-04,21454.0,,727423480,78.84,Science,Mkt&HR,67.64,F,89.69,True,1,51.15,65.14,False,Sci&Tech
2020-01-05,2020-05-05,29845.0,3.0,815446824,76.72,Commerce,Mkt&Fin,79.82,M,76.77,False,1,76.22,76.46,False,Comm&Mgmt
,2020-10-13,,3.0,828101435,68.63,Science,Mkt&HR,85.48,M,65.56,True,1,88.8,64.08,False,Comm&Mgmt
2020-03-01,,21969.0,,201887008,84.87,Commerce,Mkt&HR,50.99,M,73.34,False,1,92.95,70.59,False,Comm&Mgmt
2020-02-19,2020-08-05,,6.0,602096813,63.15,Science,Mkt&HR,65.38,F,80.16,True,1,55.36,68.07,False,Sci&Tech
2020-07-24,,50597.0,,314752377,70.68,Commerce,Mkt&Fin,77.91,M,65.62,False,1,50.37,56.15,False,Sci&Tech
,,29044.0,,399037277,62.05,Science,Mkt&Fin,48.17,F,71.99,True,1,51.94,76.28,True,Comm&Mgmt
2020-03-07,2020-09-21,21970.0,12.0,681677757,73.91,Commerce,Mkt&Fin,74.93,F,82.9,True,1,54.49,77.89,False,Comm&Mgmt
2020-03-05,,20000.0,12.0,105312809,94.94,Science,Mkt&HR,70.96,M,57.59,False,1,53.94,63.77,False,Comm&Mgmt
2020-03-09,2020-09-10,20000.0,3.0,725645028,66.19,Science,Mkt&HR,87.48,F,68.01,True,1,78.15,67.58,False,Sci&Tech
2020-02-23,2020-08-04,23881.0,3.0,502428137,72.23,Science,Mkt&Fin,83.31,M,78.22,False,1,78.78,75.27,True,Comm&Mgmt
2020-01-01,,27515.0,,356955501,67.69,Science,Mkt&Fin,78.61,M,80.26,True,1,50.76,63.27,False,Sci&Tech
,,35562.0,,780071851,94.39,Commerce,Mkt&Fin,87.5,F,72.29,False,1,62.96,63.64,True,Comm&Mgmt
2020-01-30,,31664.0,,728019942,60.28,Commerce,Mkt&Fin,45.32,F,82.6,True,1,93.45,72.56,False,Sci&Tech
2020-02-10,,20000.0,3.0,453961095,93.51,Science,Mkt&HR,82.76,M,74.27,False,1,91.39,76.26,True,Comm&Mgmt
,,,,542771762,65.95,Arts,Mkt&HR,42.03,M,82.02,True,1,92.77,69.12,False,Comm&Mgmt
2020-02-24,2020-07-21,,,325067666,69.96,Science,Mkt&Fin,75.87,M,85.23,True,1,71.7,60.36,True,Comm&Mgmt
2020-05-23,,27093.0,,118802060,76.12,Commerce,Mkt&HR,55.63,M,91.0,True,1,52.54,75.0,False,Sci&Tech
2020-02-09,,,,576125181,75.24,Science,Mkt&Fin,53.58,M,91.0,True,1,90.9,69.35,True,Others
,2020-08-21,,3.0,571329569,65.63,Commerce,Mkt&Fin,66.69,F,73.73,True,1,75.04,55.45,False,Comm&Mgmt
